속성 H 코드,속성 H 중분류코드,속성 H 대분류코드
2,315,1
4,316,3
5,317,3
6,318,3
7,319,3
8,320,3
9,321,3
10,322,3
11,323,3
12,324,3
13,325,3
14,326,3
15,327,3
16,328,3
17,329,3
18,330,3
19,331,3
20,332,3
21,333,3
22,334,3
23,335,3
24,336,3
25,337,3
26,338,3
27,339,3
28,340,3
29,341,3
31,342,30
32,343,30
33,344,30
34,345,30
35,346,30
36,347,30
37,348,30
38,349,30
39,350,30
40,351,30
41,352,30
42,353,30
43,354,30
44,355,30
45,356,30
46,357,30
47,358,30
49,359,48
50,360,48
51,361,48
52,362,48
53,363,48
54,364,48
55,365,48
56,366,48
57,367,48
59,368,58
60,369,58
61,370,58
62,371,58
63,371,58
64,372,58
65,373,58
66,374,58
67,375,58
68,376,58
69,377,58
70,378,58
72,379,71
73,380,71
74,381,71
75,382,71
76,383,71
77,384,71
79,385,78
80,386,78
81,387,78
82,388,78
83,389,78
84,390,78
86,391,85
87,392,85
88,393,85
89,394,85
90,395,85
91,396,85
93,397,92
95,398,94
96,399,94
97,399,94
98,399,94
99,399,94
100,399,94
101,400,94
102,400,94
103,400,94
104,400,94
105,401,94
106,402,94
107,402,94
108,402,94
109,403,94
110,403,94
111,403,94
112,403,94
113,404,94
114,405,94
115,406,94
116,407,94
117,407,94
118,407,94
119,408,94
120,408,94
121,408,94
122,408,94
123,409,94
124,410,94
125,411,94
126,412,94
127,413,94
128,414,94
129,415,94
130,416,94
131,417,94
132,417,94
133,417,94
134,417,94
135,418,94
136,419,94
137,420,94
138,421,94
139,422,94
140,423,94
141,424,94
142,425,94
143,426,94
144,427,94
145,428,94
146,429,94
147,430,94
148,431,94
150,432,149
151,433,149
152,434,149
153,435,149
154,436,149
155,437,149
156,438,149
157,439,149
158,440,149
159,441,149
160,442,149
161,443,149
162,444,149
163,445,149
164,446,149
165,447,149
166,448,149
167,449,149
168,450,149
170,451,169
171,452,169
172,452,169
173,452,169
174,452,169
175,452,169
176,452,169
177,453,169
178,454,169
179,455,169
180,456,169
181,457,169
182,458,169
183,458,169
184,459,169
185,460,169
186,461,169
187,462,169
189,463,188
190,464,188
191,464,188
192,464,188
193,465,188
194,466,188
195,467,188
196,468,188
197,469,188
198,470,188
199,471,188
200,472,188
201,473,188
202,474,188
203,475,188
204,476,188
205,477,188
206,478,188
207,479,188
209,480,208
210,481,208
211,481,208
212,481,208
213,482,208
214,483,208
215,484,208
216,485,208
217,486,208
218,487,208
219,488,208
220,489,208
221,490,208
222,491,208
223,492,208
224,493,208
225,494,208
227,495,226
228,496,226
229,497,226
230,498,226
231,499,226
232,500,226
233,501,226
234,502,226
235,503,226
236,504,226
237,505,226
238,506,226
239,507,226
240,508,226
241,509,226
242,510,226
243,511,226
244,512,226
245,513,226
246,514,226
247,515,226
248,516,226
249,517,226
251,518,250
252,519,250
253,519,250
254,519,250
255,520,250
256,521,250
257,522,250
258,523,250
259,524,250
260,525,250
261,526,250
262,527,250
263,528,250
264,529,250
265,530,250
266,531,250
267,532,250
268,533,250
269,534,250
270,535,250
271,536,250
272,537,250
273,538,250
274,539,250
275,540,250
276,541,250
278,542,277
279,543,277
280,543,277
281,543,277
282,543,277
283,543,277
284,543,277
285,544,277
286,545,277
287,546,277
288,547,277
289,548,277
290,549,277
291,550,277
292,551,277
293,552,277
294,553,277
295,554,277
296,555,277
297,556,277
298,557,277
299,558,277
300,559,277
301,560,277
303,561,302
304,562,302
305,563,302
306,564,302
307,565,302
309,566,308
310,567,308
311,568,308
313,569,312
314,570,314
