카테고리,채널명,구독자수,조회수,비디오수
키즈/어린이,주니토니 동요동화 - 키즈캐슬,"760,000","689,790,000",574
애완/반려동물,다흑,"750,000","476,790,000","2,341"
키즈/어린이,ToyCheff,"750,000","353,890,000",447
게임,탁주 TV,"750,000","1,518,520,000","1,988"
키즈/어린이,Robot Trains official,"750,000","552,740,000",744
미분류,뽀송한 준_bosungjun,"750,000","47,980,000",87
게임,GCL 지씨엘,"750,000","192,970,000",302
TV/방송,Zaty Farhani,"740,000","798,920,000","1,633"
TV/방송,KBS N,"740,000","1,220,660,000","13,409"
뉴스/정치/사회,빽능 - 스브스 옛날 예능,"740,000","827,480,000","3,260"
TV/방송,타임스낵,"740,000","187,920,000",195
BJ/인물/연예인,bobaepapa - 보배아빠,"740,000","332,670,000",333
패션/미용,리아루아 LIALUA,"740,000","205,950,000",314
패션/미용,Yoo's Beauty 희주,"730,000","22,630,000",105
교육/강의,법륜스님의 희망세상만들기,"730,000","365,400,000",724
TV/방송,Travel Tube,"730,000","753,160,000","1,361"
TV/방송,LDF TV by lottedutyfree,"730,000","562,570,000","1,246"
패션/미용,yeondukong 연두콩,"730,000","96,890,000",367
미분류,ROKSEAL,"730,000","70,600,000",79
미분류,CU [씨유튜브],"730,000","18,610,000",211
미분류,랄로,"730,000","227,950,000",348
패션/미용,sunnydahye,"730,000","50,410,000",334
미분류,Golden Disc Awards,"730,000","188,160,000",501
음악/댄스/가수,HYOLYN 효린,"730,000","133,880,000",111
미분류,지켜츄 Chuu Can Do It,"730,000","39,510,000",57
애완/반려동물,시바견 곰이탱이여우,"730,000","355,750,000","1,185"
BJ/인물/연예인,송대익 songdaeik,"730,000","376,250,000",439
TV/방송,스튜디오 룰루랄라- studio lululala,"720,000","190,900,000",890
게임,러너꽃빈TV,"720,000","589,280,000","3,155"
음식/요리/레시피,띠예,"720,000","82,220,000",39
TV/방송,Kyunghamin твоя корейская онни,"720,000","63,070,000",329
영화/만화/애니,UTZI웃지,"720,000","397,400,000",242
교육/강의,닥터프렌즈,"720,000","134,810,000",496
음악/댄스/가수,DKDKTV,"720,000","153,540,000","1,094"
TV/방송,핫소스,"720,000","452,550,000",459
음악/댄스/가수,VICTON 빅톤,"720,000","141,600,000",666
음악/댄스/가수,B1A4 OFFICIAL +,"720,000","184,040,000",317
뉴스/정치/사회,전옥현 안보정론TV,"720,000","331,970,000","4,226"
취미/라이프,DanoTV,"720,000","135,120,000",570
미분류,천뚱TV,"720,000","63,540,000",31
미분류,랭킹스쿨 Ranking School,"720,000","369,120,000",647
뉴스/정치/사회,KBS 교양,"720,000","556,510,000","66,595"
음악/댄스/가수,Yuni Marimba 유니 마림바,"720,000","92,230,000",103
음악/댄스/가수,Healing Meditation,"710,000","70,540,000",211
음악/댄스/가수,MBC WORLD,"710,000","541,540,000","4,756"
미분류,leeminho film,"710,000","10,760,000",14
음식/요리/레시피,윰댕(yum-cast),"710,000","516,320,000","3,231"
BJ/인물/연예인,대륙남TV [clark tv],"710,000","392,320,000","3,025"
게임,스페셜솔져 - 모바일FPS,"710,000","15,040,000",137
키즈/어린이,지호토이TV JIHOTOY,"710,000","562,640,000","1,847"
BJ/인물/연예인,외질혜 (OzilTube),"710,000","433,840,000","1,587"
TV/방송,나혼자산다 STUDIO,"710,000","222,430,000",287
패션/미용,헤이즐 Heizle,"710,000","74,450,000",290
음악/댄스/가수,HEADLINER,"710,000","167,860,000",186
음악/댄스/가수,SonyToby,"710,000","71,800,000",94
미분류,이재성 박사의 식탁보감,"710,000","54,900,000",229
음악/댄스/가수,Official fromis_9,"700,000","210,480,000",485
TV/방송,뉴스엔·NewsenTV·KOREA Entertainment news,"700,000","241,400,000","8,396"
뉴스/정치/사회,채널A 뉴스TOP10,"700,000","570,610,000","16,060"
교육/강의,THE J,"700,000","123,540,000",535
키즈/어린이,ToyMoon토이문,"700,000","262,110,000",251
뉴스/정치/사회,연합뉴스TV,"700,000","918,130,000","362,555"
뉴스/정치/사회,가로세로연구소,"700,000","452,930,000","2,913"
취미/라이프,Soy ASMR,"700,000","141,380,000",435
음악/댄스/가수,임창정,"690,000","197,160,000",294
회사/오피셜,KB국민카드,"690,000","219,570,000",512
게임,Charming Jo 조매력,"690,000","188,220,000","1,150"
TV/방송,김달,"690,000","227,240,000",729
미분류,육식맨 YOOXICMAN,"690,000","109,680,000",99
TV/방송,smile -wA-,"690,000","517,280,000","5,323"
영화/만화/애니,Sechi,"690,000","223,190,000",267
음악/댄스/가수,TEEN TOP Official,"690,000","196,310,000",775
미분류,함께해요 맛나요리,"690,000","158,390,000",424
키즈/어린이,코코몽 COCOMONG TV - Cartoon & Song For Kids,"690,000","848,430,000","1,188"
BJ/인물/연예인,긱블 Geekble,"690,000","176,510,000",300
미분류,뀨러기 [kkyuleogi],"690,000","177,530,000",240
영화/만화/애니,DAZBEE official,"690,000","238,120,000",121
음식/요리/레시피,인아짱 Inah Eats,"690,000","144,710,000",996
영화/만화/애니,써리의 영상툰 SSULY TOON,"690,000","467,150,000",945
패션/미용,에바EVA,"690,000","101,040,000",299
음악/댄스/가수,LJ Dance,"680,000","91,820,000","1,744"
TV/방송,시미켄 TV,"680,000","94,590,000",89
음악/댄스/가수,MBK Entertainment [Official],"680,000","387,260,000",417
키즈/어린이,애니한TV AnnieHanTV,"680,000","645,430,000","1,145"
미분류,방가네,"680,000","153,760,000",182
국내/해외/여행,EBS 컬렉션 - 라이프스타일,"680,000","407,310,000","2,907"
키즈/어린이,로보카폴리 TV,"680,000","423,310,000","1,045"
게임,문호준,"680,000","419,040,000","1,044"
BJ/인물/연예인,난쟁이성현,"680,000","172,030,000",678
음악/댄스/가수,PianiCast - 피아니캐스트,"680,000","171,350,000",106
미분류,이슈왕 TV,"680,000","340,370,000",997
패션/미용,김습습Double Soup,"680,000","52,700,000",274
뉴스/정치/사회,이봉규TV,"680,000","424,770,000","6,752"
취미/라이프,ASMR Ouvir 오비르,"680,000","114,290,000",149
미분류,랄랄ralral,"680,000","118,090,000",324
미분류,웅이woongei,"680,000","142,820,000",264
미분류,DAWN,"680,000","46,210,000",33
음악/댄스/가수,Bigman,"680,000","53,330,000",45
뉴스/정치/사회,스브스뉴스 SUBUSU NEWS,"680,000","706,370,000","2,489"
키즈/어린이,간니닌니 다이어리,"670,000","604,450,000","1,762"
TV/방송,SIMI TV,"670,000","80,010,000",76
뉴스/정치/사회,Newstapa,"670,000","233,810,000","3,747"
게임,밍모,"670,000","427,130,000","1,416"
뉴스/정치/사회,펜앤드마이크TV,"670,000","466,870,000","10,502"
음식/요리/레시피,권회훈,"670,000","269,050,000","1,273"
게임,김성회의 G식백과,"670,000","143,910,000",217
TV/방송,제이제이,"670,000","196,560,000",501
패션/미용,새벽,"670,000","93,300,000",505
취미/라이프,미니미니 MiniMini,"670,000","318,380,000",326
미분류,주부나라,"670,000","149,240,000",761
미분류,이리오너라,"660,000","48,290,000","1,554"
TV/방송,레바스튜디오,"660,000","286,580,000",420
미분류,SM STATION,"660,000","41,060,000",90
미분류,과나gwana,"660,000","88,300,000",76
미분류,815머니톡,"660,000","160,880,000","2,610"
TV/방송,덕출 : DCTVGO,"660,000","172,010,000",312
게임,강 지,"660,000","480,710,000","1,072"
음악/댄스/가수,조싀앤바믜 Josh & Bamui,"660,000","180,390,000",193
TV/방송,백만뷰,"660,000","448,180,000","9,311"
교육/강의,입시덕후,"660,000","267,830,000",398
음악/댄스/가수,GIRL'S DAY,"660,000","245,940,000",150
패션/미용,Ha Neul오늘의 하늘,"660,000","101,840,000",284
음식/요리/레시피,Team_SeikaTV(팀세이카),"660,000","132,860,000",115
BJ/인물/연예인,깨박이,"660,000","374,400,000","1,248"
미분류,스토리,"660,000","89,620,000",39
패션/미용,로즈하ROSEHA,"650,000","71,180,000",176
미분류,직업의모든것,"650,000","224,930,000",294
TV/방송,김용호연예부장,"650,000","121,500,000",256
패션/미용,Dear.Jerry제리,"650,000","41,670,000",152
뉴스/정치/사회,한국경제TV,"650,000","204,470,000","49,733"
패션/미용,LENA,"650,000","133,870,000",136
BJ/인물/연예인,요리왕비룡 Korean Food Cooking,"650,000","131,120,000",584
게임,수탉,"650,000","308,720,000","1,310"
TV/방송,PANGKICK 팡킥,"650,000","214,900,000",85
음식/요리/레시피,키미 Kimi,"650,000","45,270,000",91
키즈/어린이,뿌직PPUJIG,"650,000","487,250,000",425
게임,Official Dopa,"650,000","291,300,000","1,220"
음식/요리/레시피,허미노MINO,"650,000","244,920,000","1,670"
주식/경제/부동산,코스픽(KosPick),"640,000","24,030,000","1,176"
음식/요리/레시피,입질의추억TV jiminTV,"640,000","188,680,000",320
TV/방송,걍밍경,"640,000","36,760,000",34
패션/미용,금강연화,"640,000","240,440,000",619
IT/기술/컴퓨터,테크몽 Techmong,"640,000","86,480,000",341
스포츠/운동,JK 아트사커 온라인,"640,000","224,690,000",409
미분류,송슐랭 가이드 - SONGCHELIN GUIDE,"640,000","18,830,000",110
영화/만화/애니,CK Animation School_2016-2018,"640,000","205,340,000",698
패션/미용,Q2HAN,"640,000","69,300,000",697
주식/경제/부동산,부동산 읽어주는 남자,"640,000","65,280,000",464
자동차,우파푸른하늘Woopa TV,"640,000","339,010,000",947
영화/만화/애니,홍시네마,"640,000","203,530,000",156
음악/댄스/가수,BELLA&LUCAS 벨라앤루카스,"630,000","74,720,000",290
TV/방송,tweety 트위티,"630,000","72,170,000",153
게임,유소나,"630,000","199,370,000",709
미분류,지식한입,"630,000","42,760,000",54
미분류,검은고양이 다홍 Blackcat Dahong,"630,000","36,540,000",44
미분류,꼰대희,"630,000","96,710,000",104
게임,퀸톨 TV,"630,000","463,550,000","2,065"
BJ/인물/연예인,김도고 Doggo Kim,"630,000","157,710,000",153
게임,LCK,"630,000","492,280,000","3,893"
TV/방송,Spinel CAM,"630,000","675,730,000","8,576"
키즈/어린이,손오공,"630,000","647,350,000",729
취미/라이프,여정을떠난여정,"630,000","136,320,000",285
미분류,팩토리,"620,000","56,480,000",27
미분류,deemd 딤디,"620,000","60,700,000",141
미분류,쏘대장,"620,000","122,430,000",309
패션/미용,도영도영이,"620,000","43,420,000",161
미분류,지기TV,"620,000","147,200,000",703
미분류,나르앤나르시Nar.Couple,"620,000","69,540,000",130
미분류,단하나 DANHANA,"620,000","105,850,000",87
TV/방송,OCN,"620,000","572,130,000","11,771"
패션/미용,会社員J,"620,000","122,950,000",391
TV/방송,매미킴 TV,"620,000","156,590,000",248
TV/방송,Rio y Christian,"620,000","54,480,000",294
음악/댄스/가수,다이아나Diana,"620,000","170,730,000","1,773"
음악/댄스/가수,정동원TV,"620,000","220,510,000",263
게임,저라뎃 JUSTLIKETHAT,"620,000","561,900,000","2,888"
음악/댄스/가수,lEtudel,"620,000","242,020,000","2,969"
BJ/인물/연예인,예씨 yessii,"620,000","376,950,000",778
미분류,Bravo jamoasi,"610,000","115,500,000",84
패션/미용,소윤Soyoon,"610,000","59,580,000",154
게임,코아 TV,"610,000","425,580,000","1,029"
게임,삼식,"610,000","221,380,000","1,906"
TV/방송,샒의 삶Serim's life,"610,000","185,710,000",520
음식/요리/레시피,한식푸우 Korean food,"610,000","243,420,000","1,576"
음식/요리/레시피,맛상무,"610,000","230,810,000","1,266"
패션/미용,슈스스TV,"610,000",0,0
TV/방송,씨그널V [ Signal V ],"610,000","289,350,000",731
미분류,캡틴 파추호 Captain PaChuHO,"610,000","35,350,000",50
키즈/어린이,지니어드벤쳐 GeniAdventure (공룡∙과학 Dinosaurs),"610,000","592,300,000",426
미분류,지피티,"610,000","126,480,000",713
영화/만화/애니,Netflix Korea 넷플릭스 코리아,"610,000","164,330,000","1,339"
뉴스/정치/사회,성제준TV,"610,000","192,730,000",966
IT/기술/컴퓨터,UNDERkg,"610,000","314,570,000","2,287"
TV/방송,MBC 미스터리 : 심야괴담회 X 서프라이즈,"610,000","259,950,000","1,121"
음식/요리/레시피,sini시니,"610,000","229,620,000",672
TV/방송,tvN 인사이트,"600,000","207,190,000","1,736"
패션/미용,골근위수영뷰티아카데미,"600,000","428,070,000",356
키즈/어린이,뽀로로 타요 장난감 놀이교실,"600,000","387,680,000",807
자동차,김한용의 MOCAR,"600,000","271,660,000","1,158"
음악/댄스/가수,노래하는코트,"600,000","319,520,000","2,297"
TV/방송,코니tv conitv,"600,000","95,600,000",430
게임,눈쟁이,"600,000","241,340,000","2,166"
미분류,짧은대본 ShortPaper,"600,000","128,420,000",129
게임,TV대정령,"600,000","634,120,000","7,450"
취미,여락이들_,"600,000","140,480,000",332
미분류,과학드림 [Science Dream],"600,000","96,690,000",102
음악/댄스/가수,FTISLAND (FT아일랜드),"600,000","139,550,000",145
게임,로이조 TV,"600,000","436,030,000","2,603"
미분류,로하Roha,"600,000","77,870,000",108
음식/요리/레시피,바다곰조해웅Seabear,"600,000","126,020,000",387
미분류,영기티비,"600,000","95,180,000",223
미분류,[윤이련]50년 요리비결,"600,000","143,990,000",305
미분류,유 퀴즈 온 더 튜브,"600,000","235,500,000","2,519"
스포츠/운동,강하나 스트레칭_stretching,"600,000","53,480,000",293
미분류,할명수,"590,000","43,610,000",62
뉴스/정치/사회,MTN 머니투데이방송,"590,000","506,830,000","56,098"
TV/방송,NICKY니키,"590,000","184,610,000",738
게임,JUNE,"590,000","593,640,000","1,293"
미분류,STAYC,"590,000","125,780,000",99
미분류,하알라,"590,000","138,620,000",190
미분류,엠뚜루마뚜루 : MBC 공식 종합 채널,"590,000","684,900,000","1,170"
게임,서넹,"590,000","217,240,000","2,819"
주식/경제/부동산,단희TV,"590,000","65,550,000",849
TV/방송,티키틱 TIKITIK,"590,000","121,610,000",142
미분류,깨방정,"590,000","175,120,000",364
뉴스/정치/사회,팩트TV NEWS,"590,000","515,170,000","19,624"
취미/라이프,이연LEEYEON,"590,000","40,070,000",170
취미/라이프,딩가의 회전목마 DINGA,"590,000","69,280,000",171
패션/미용,leeanfilm리안,"590,000","49,110,000",184
미분류,A24,"580,000","621,530,000",532
취미/라이프,김나영의 nofilterTV,"580,000","108,980,000",310
TV/방송,drighk fancam 2015,"580,000","430,090,000","5,284"
미분류,양세브라더스,"580,000","24,500,000",16
애완/반려동물,김메주와 고양이들,"580,000","193,180,000",968
해외,Ashley Mariee,"580,000","56,220,000","2,046"
TV/방송,Olive,"580,000","638,420,000","17,128"
TV/방송,MAXIM KOREA,"580,000","306,380,000","2,032"
교육/강의,친절한 대학,"580,000","55,770,000",551
BJ/인물/연예인,최홍철,"580,000","162,000,000",320
음식/요리/레시피,더스쿱The SCOOP,"580,000","85,300,000",406
게임,형독방송,"580,000","515,710,000","1,840"
TV/방송,KBS 같이삽시다,"570,000","275,180,000","2,972"
TV/방송,공돌이 용달,"570,000","166,060,000",197
BJ/인물/연예인,엣지님,"570,000","199,140,000","1,644"
BJ/인물/연예인,상해기SangHyuk,"570,000","128,230,000",310
음악/댄스/가수,God DongMin갓동민,"570,000","93,630,000",996
TV/방송,은하캠핑,"570,000","111,040,000",201
키즈/어린이,Troom Troom Kr,"570,000","381,590,000","1,883"
취미/라이프,ConCorea TV,"570,000","14,160,000",625
미분류,McDonald's,"570,000","120,340,000",204
게임,진호,"570,000","306,590,000","2,434"
TV/방송,STATV,"570,000","189,040,000","7,461"
음식/요리/레시피,SINCOOK - 신쿡,"570,000","103,920,000",482
뉴스/정치/사회,고성국TV,"570,000","277,090,000","7,071"
미분류,코믹마트,"570,000","186,540,000",227
음악/댄스/가수,May J Lee 메이제이 리,"570,000","28,610,000",40
BJ/인물/연예인,덕자전성시대,"560,000","61,160,000",140
음악/댄스/가수,SUGA - Topic,"560,000","10,000",1
TV/방송,KBS Entertain: 깔깔티비,"560,000","792,370,000","4,854"
애완/반려동물,Arirang은 고양이들내가 주인,"560,000","165,740,000",381
TV/방송,쌈바홍 ssambahong,"560,000","41,090,000",197
미분류,[에일리 OFFICIAL] aileemusic,"560,000","83,540,000",112
음악/댄스/가수,INFINITE,"560,000","39,110,000",158
뉴스/정치/사회,쓸모왕,"560,000","413,910,000",655
패션/미용,다영 DAYEONG,"560,000","75,840,000",354
키즈/어린이,캐리TV 주니어,"560,000","624,180,000","1,423"
음식/요리/레시피,[Flower pig]꽃돼지,"560,000","193,360,000","1,190"
키즈/어린이,Clevr TV [클레버티비],"560,000","532,140,000","1,767"
취미/라이프,TAU,"560,000","345,720,000",103
미분류,근황올림픽,"560,000","257,280,000",237
TV/방송,석준이가해,"560,000","125,770,000",214
음식/요리/레시피,정육왕 MeatCreator,"560,000","127,740,000",417
음악/댄스/가수,TVXQ!,"550,000","32,620,000",70
음악/댄스/가수,Reynah,"550,000","145,380,000",245
음악/댄스/가수,온스테이지ONSTAGE,"550,000","231,620,000","2,330"
미분류,김흥미,"550,000","220,060,000",473
음악/댄스/가수,Trouble Maker (Official YouTube Channel),"550,000","185,460,000",9
미분류,규티비 KYUHYUN,"550,000","21,500,000",74
미분류,또모TOWMOO,"550,000","133,070,000",191
미분류,Super K-슈퍼개미김정환,"550,000","50,200,000",447
미분류,드립팩토리 [Dlib Factory],"550,000","181,640,000",174
영화/만화/애니,뭅뭅,"550,000","316,520,000","3,189"
패션/미용,아옳이,"550,000","92,570,000",152
BJ/인물/연예인,sojoong쏘야쭝아,"550,000","137,100,000",222
미분류,에버랜드 - EVERLAND,"550,000","167,780,000","1,979"
미분류,일주어터,"550,000","92,040,000",148
음악/댄스/가수,달마발 Darlim&Hamabal,"550,000","136,730,000",157
음악/댄스/가수,Mellowbeat Seeker,"550,000","8,240,000",131
BJ/인물/연예인,카페노예 jun,"550,000","38,150,000",76
뉴스/정치/사회,국방TV,"550,000","502,980,000","11,171"
취미/라이프,샬이 Shal.E,"540,000","21,530,000",60
교육/강의,수린 suzlnne,"540,000","42,130,000",129
패션/미용,LeoJ Makeup,"540,000","75,560,000",254
TV/방송,J.Y. Park,"540,000","88,110,000",90
교육/강의,Conversational Korean,"540,000","14,950,000",335
게임,꿀탱탱,"540,000","338,410,000","2,514"
패션/미용,DAISY 데이지,"540,000","44,630,000",139
음악/댄스/가수,Flow Music,"540,000","113,380,000",490
영화/만화/애니,소개해주는 남자,"540,000","163,530,000",223
패션/미용,디렉터 짱구대디,"540,000","168,960,000","1,723"
미분류,Melon 멜론,"540,000","67,280,000",223
뉴스/정치/사회,서울의소리 Voice of Seoul,"540,000","243,920,000","7,517"
TV/방송,레이디액션,"540,000","265,350,000",355
미분류,BODA 보다,"540,000","250,540,000",731
게임,자몽티비,"540,000","501,910,000","2,059"
미분류,free지아,"540,000","84,580,000",188
게임,글자네 YouTube,"540,000","483,520,000","3,179"
애완/반려동물,아리둥절 Ari the Corgi,"530,000","150,610,000",234
BJ/인물/연예인,풍자테레비,"530,000","237,370,000","1,636"
게임,프레이 TV,"530,000","269,280,000","1,159"
게임,빅헤드,"530,000","303,080,000","3,467"
음악/댄스/가수,DanalEntertainment,"530,000","289,530,000","9,242"
TV/방송,오마르의 삶,"530,000","85,230,000",416
미분류,유이뿅YUIPYON,"530,000","133,450,000",303
BJ/인물/연예인,Korean Studio,"530,000","47,190,000",171
TV/방송,오예커플스토리,"530,000","88,440,000",156
뉴스/정치/사회,뉴스타운TV,"530,000","125,330,000","4,573"
음식/요리/레시피,스튜디오 쿠캣 - COOKAT,"530,000","208,370,000","1,682"
교육/강의,동심파괴,"530,000","142,110,000",358
취미/라이프,희철리즘Heechulism,"530,000","135,540,000",251
교육/강의,1등 미디어,"530,000","236,320,000",492
TV/방송,스튜디오V [ STUDIO V ],"530,000","156,700,000",320
미분류,시니어전성시대,"530,000","61,410,000",145
TV/방송,joanday,"530,000","68,480,000",629
BJ/인물/연예인,박서아TV,"530,000","99,280,000",306
게임,똘킹,"530,000","388,870,000","1,829"
미분류,AB6IX,"530,000","32,270,000",263
영화/만화/애니,supershinstudio,"530,000","383,900,000","7,779"
뉴스/정치/사회,Arirang News,"530,000","237,210,000","123,886"
뉴스/정치/사회,여수MBC Music+(Kpop&Trot),"530,000","335,200,000","11,942"
TV/방송,Ripple_S,"530,000","301,300,000",714
취미/라이프,미니유 Miniyu ASMR,"530,000","223,410,000",727
뉴스/정치/사회,KBS KONG,"520,000","203,980,000","6,637"
음식/요리/레시피,PRUMIR,"520,000","111,540,000",448
미분류,조여사전성시대,"520,000","98,700,000",428
미분류,Everton Football Club,"520,000","143,740,000","2,485"
음악/댄스/가수,Mina's TV 미나네TV,"520,000","21,030,000",136
BJ/인물/연예인,Mr.아재 [Mr.Ajae],"520,000","134,180,000",303
TV/방송,KBS 1라디오,"520,000","188,600,000","10,326"
취미/라이프,공구왕황부장,"520,000","105,490,000",445
미분류,햄튜브,"520,000","280,770,000","1,108"
키즈/어린이,오콘키즈,"520,000","693,730,000","1,009"
게임,방앗간 비둘기,"520,000","334,960,000","4,296"
IT/기술/컴퓨터,MR엠알,"520,000","76,450,000",347
음악/댄스/가수,Dragon Stone,"520,000","32,320,000",148
음식/요리/레시피,영자씨의 부엌Young-Ja's Kitchen,"520,000","108,390,000",905
TV/방송,KBS동물티비 : 애니멀포유 animal4u,"520,000","326,080,000","1,459"
TV/방송,상현아웃겨줘parksanghyun,"520,000","177,540,000",397
음식/요리/레시피,창배먹방 chang_bae,"520,000","242,000,000","1,281"
게임,OGN,"510,000","608,880,000","27,433"
게임,미소,"510,000","210,770,000","3,084"
미분류,밉지않은 관종언니,"510,000","67,740,000",170
미분류,복지마블TV [Welfare Marble],"510,000","49,960,000",240
음식/요리/레시피,Muggo,"510,000","183,720,000","1,388"
게임,임선비,"510,000","234,290,000","1,134"
